x, y, vx, vy
0, 0, 4, 0
0, 4, 4, 0
0, 8, 4, 0
0, 12, 4, 0
0, 16, 4, 0
0, 20, 4, 0
0, 24, 4, 0
0, 28, 4, 0
0, 32, 4, 0
0, 36, 4, 0
0, 40, 4, 0
0, 44, 4, 0
0, 48, 4, 0
0, 52, 4, 0
0, 56, 4, 0
0, 60, 4, 0
0, 64, 4, 0
0, 68, 4, 0
0, 72, 4, 0
0, 76, 4, 0
0, 80, 4, 0
0, 84, 4, 0
0, 88, 4, 0
0, 92, 4, 0
0, 96, 4, 0
0, 100, 4, 0
0, 104, 4, 0
0, 108, 4, 0
0, 112, 4, 0
0, 116, 4, 0
0, 120, 4, 0
0, 124, 4, 0
0, 128, 4, 0
0, 132, 4, 0
0, 136, 4, 0
0, 140, 4, 0
0, 144, 4, 0
0, 148, 4, 0
0, 152, 4, 0
0, 156, 4, 0
0, 160, 4, 0
0, 164, 4, 0
0, 168, 4, 0
0, 172, 4, 0
0, 176, 4, 0
0, 180, 4, 0
0, 184, 4, 0
0, 188, 4, 0
0, 192, 4, 0
0, 196, 4, 0
4, 0, 4.13033, 0.00784138
4, 4, 4.12898, -0.00135012
4, 8, 4.1244, -0.0217203
4, 12, 4.11611, -0.0622784
4, 16, 4.10625, -0.128098
4, 20, 4.0975, -0.215747
4, 24, 4.08958, -0.312028
4, 28, 4.07958, -0.403166
4, 32, 4.06635, -0.483266
4, 36, 4.05181, -0.549805
4, 40, 4.03673, -0.598736
4, 44, 4.01898, -0.630563
4, 48, 3.99596, -0.656022
4, 52, 3.967, -0.691824
4, 56, 3.93394, -0.753
4, 60, 3.89912, -0.852835
4, 64, 3.86264, -1.00741
4, 68, 3.81955, -1.23711
4, 72, 3.76098, -1.55513
4, 76, 3.68017, -1.93113
4, 80, 3.56758, -2.29338
4, 84, 3.39312, -2.53491
4, 88, 3.15874, -2.49077
4, 92, 2.88765, -1.98598
4, 96, 2.6596, -1.13848
4, 100, 2.61555, -0.0117236
4, 104, 2.65825, 1.11551
4, 108, 2.88507, 1.9649
4, 112, 3.15546, 2.47257
4, 116, 3.38967, 2.52138
4, 120, 3.5641, 2.28418
4, 124, 3.67642, 1.92521
4, 128, 3.75658, 1.55165
4, 132, 3.81445, 1.23545
4, 136, 3.8568, 1.00662
4, 140, 3.89264, 0.852479
4, 144, 3.92733, 0.753157
4, 148, 3.96085, 0.692879
4, 152, 3.9906, 0.658397
4, 156, 4.01436, 0.634226
4, 160, 4.03252, 0.603382
4, 164, 4.04771, 0.555382
4, 168, 4.06258, 0.489922
4, 172, 4.07673, 0.410848
4, 176, 4.0881, 0.320649
4, 180, 4.09743, 0.22547
4, 184, 4.10714, 0.139119
4, 188, 4.11717, 0.0747372
4, 192, 4.12508, 0.0356981
4, 196, 4.12924, 0.016559
8, 0, 4.26374, 0.0101514
8, 4, 4.25987, -0.00291663
8, 8, 4.24972, -0.0268352
8, 12, 4.23549, -0.0690483
8, 16, 4.22147, -0.13345
8, 20, 4.21263, -0.219615
8, 24, 4.21048, -0.322134
8, 28, 4.21166, -0.434069
8, 32, 4.21367, -0.551219
8, 36, 4.21821, -0.673982
8, 40, 4.22635, -0.805068
8, 44, 4.23495, -0.950438
8, 48, 4.23911, -1.12145
8, 52, 4.23866, -1.33111
8, 56, 4.24345, -1.59457
8, 60, 4.26664, -1.9393
8, 64, 4.31161, -2.40454
8, 68, 4.36334, -3.01554
8, 72, 4.39342, -3.74613
8, 76, 4.36648, -4.58063
8, 80, 4.15521, -5.41515
8, 84, 3.55753, -5.8467
8, 88, 2.69719, -5.20017
8, 92, 1.6458, -4.31959
8, 96, 1.06332, -2.05701
8, 100, 0.911489, -0.016612
8, 104, 1.06129, 2.02732
8, 108, 1.64273, 4.28776
8, 112, 2.6908, 5.17337
8, 116, 3.55009, 5.82407
8, 120, 4.14745, 5.39752
8, 124, 4.3592, 4.56724
8, 128, 4.38634, 3.73567
8, 132, 4.35592, 3.00745
8, 136, 4.30366, 2.39873
8, 140, 4.25853, 1.93609
8, 144, 4.23569, 1.59444
8, 148, 4.23164, 1.33447
8, 152, 4.23304, 1.12849
8, 156, 4.22985, 0.960672
8, 160, 4.2221, 0.817684
8, 164, 4.21476, 0.688641
8, 168, 4.21112, 0.567859
8, 172, 4.21016, 0.45218
8, 176, 4.21006, 0.340991
8, 180, 4.21318, 0.238771
8, 184, 4.22281, 0.15257
8, 188, 4.23726, 0.0880213
8, 192, 4.2513, 0.0460944
8, 196, 4.26075, 0.0228551
12, 0, 4.36657, 0.0117071
12, 4, 4.36014, -0.00726536
12, 8, 4.3445, -0.0350635
12, 12, 4.32544, -0.0775603
12, 16, 4.3104, -0.138555
12, 20, 4.30638, -0.220795
12, 24, 4.31695, -0.326224
12, 28, 4.34138, -0.453382
12, 32, 4.37862, -0.598429
12, 36, 4.42961, -0.764719
12, 40, 4.49423, -0.965063
12, 44, 4.56773, -1.21909
12, 48, 4.64217, -1.54879
12, 52, 4.71523, -1.97042
12, 56, 4.79996, -2.49141
12, 60, 4.92877, -3.12417
12, 64, 5.13605, -3.91458
12, 68, 5.4181, -4.92574
12, 72, 5.64546, -6.25603
12, 76, 5.54812, -7.72992
12, 80, 4.66117, -8.38671
12, 84, 2.21452, -4.94277
12, 88, 0, 0
12, 92, 0, 0
12, 96, 0, 0
12, 100, 0, 0
12, 104, 0, 0
12, 108, 0, 0
12, 112, 0, 0
12, 116, 2.20759, 4.92594
12, 120, 4.64843, 8.36139
12, 124, 5.53529, 7.70979
12, 128, 5.63262, 6.24168
12, 132, 5.40493, 4.91626
12, 136, 5.12297, 3.9094
12, 140, 4.91655, 3.12362
12, 144, 4.78899, 2.49542
12, 148, 4.7056, 1.97904
12, 152, 4.63393, 1.56147
12, 156, 4.56086, 1.23471
12, 160, 4.48884, 0.982601
12, 164, 4.42599, 0.783841
12, 168, 4.37695, 0.619138
12, 172, 4.34155, 0.475253
12, 176, 4.31848, 0.348536
12, 180, 4.3085, 0.24325
12, 184, 4.31255, 0.16119
12, 188, 4.32754, 0.100278
12, 192, 4.34645, 0.0578921
12, 196, 4.3614, 0.0304469
16, 0, 4.45764, 0.0130851
16, 4, 4.45021, -0.0423704
16, 8, 4.43249, -0.101352
16, 12, 4.41242, -0.167533
16, 16, 4.3987, -0.244837
16, 20, 4.40011, -0.337705
16, 24, 4.42464, -0.451933
16, 28, 4.47761, -0.589729
16, 32, 4.56075, -0.749116
16, 36, 4.67386, -0.935634
16, 40, 4.81618, -1.16829
16, 44, 4.98458, -1.47733
16, 48, 5.17083, -1.89724
16, 52, 5.36562, -2.45078
16, 56, 5.58177, -3.15159
16, 60, 5.87074, -4.04382
16, 64, 6.30501, -5.16217
16, 68, 6.90389, -6.63827
16, 72, 7.3909, -8.39883
16, 76, 5.01249, -6.87614
16, 80, 0, 0
16, 84, 0, 0
16, 88, 0, 0
16, 92, 0, 0
16, 96, 0, 0
16, 100, 0, 0
16, 104, 0, 0
16, 108, 0, 0
16, 112, 0, 0
16, 116, 0, 0
16, 120, 0, 0
16, 124, 4.99556, 6.85356
16, 128, 7.36833, 8.37655
16, 132, 6.88241, 6.6236
16, 136, 6.28437, 5.15359
16, 140, 5.85149, 4.04103
16, 144, 5.56448, 3.15533
16, 148, 5.35067, 2.46085
