x, y, vx, vy
0, 0, 4, 0
0, 4, 4, 0
0, 8, 4, 0
0, 12, 4, 0
0, 16, 4, 0
0, 20, 4, 0
0, 24, 4, 0
0, 28, 4, 0
0, 32, 4, 0
0, 36, 4, 0
0, 40, 4, 0
0, 44, 4, 0
0, 48, 4, 0
0, 52, 4, 0
0, 56, 4, 0
0, 60, 4, 0
0, 64, 4, 0
0, 68, 4, 0
0, 72, 4, 0
0, 76, 4, 0
0, 80, 4, 0
0, 84, 4, 0
0, 88, 4, 0
0, 92, 4, 0
0, 96, 4, 0
0, 100, 4, 0
0, 104, 4, 0
0, 108, 4, 0
0, 112, 4, 0
0, 116, 4, 0
0, 120, 4, 0
0, 124, 4, 0
0, 128, 4, 0
0, 132, 4, 0
0, 136, 4, 0
0, 140, 4, 0
0, 144, 4, 0
0, 148, 4, 0
0, 152, 4, 0
0, 156, 4, 0
0, 160, 4, 0
0, 164, 4, 0
0, 168, 4, 0
0, 172, 4, 0
0, 176, 4, 0
0, 180, 4, 0
0, 184, 4, 0
0, 188, 4, 0
0, 192, 4, 0
0, 196, 4, 0
0, 200, 4, 0
0, 204, 4, 0
0, 208, 4, 0
0, 212, 4, 0
0, 216, 4, 0
0, 220, 4, 0
0, 224, 4, 0
0, 228, 4, 0
0, 232, 4, 0
0, 236, 4, 0
0, 240, 4, 0
0, 244, 4, 0
0, 248, 4, 0
0, 252, 4, 0
0, 256, 4, 0
0, 260, 4, 0
0, 264, 4, 0
0, 268, 4, 0
0, 272, 4, 0
0, 276, 4, 0
0, 280, 4, 0
0, 284, 4, 0
0, 288, 4, 0
0, 292, 4, 0
0, 296, 4, 0
0, 300, 4, 0
0, 304, 4, 0
0, 308, 4, 0
0, 312, 4, 0
0, 316, 4, 0
0, 320, 4, 0
0, 324, 4, 0
0, 328, 4, 0
0, 332, 4, 0
0, 336, 4, 0
0, 340, 4, 0
0, 344, 4, 0
0, 348, 4, 0
0, 352, 4, 0
0, 356, 4, 0
0, 360, 4, 0
0, 364, 4, 0
0, 368, 4, 0
0, 372, 4, 0
0, 376, 4, 0
0, 380, 4, 0
0, 384, 4, 0
0, 388, 4, 0
0, 392, 4, 0
0, 396, 4, 0
4, 0, 4.03587, -0.00299125
4, 4, 4.04228, 0.0874813
4, 8, 4.05718, 0.165547
4, 12, 4.07188, 0.218082
4, 16, 4.08112, 0.231104
4, 20, 4.08665, 0.20053
4, 24, 4.09074, 0.145618
4, 28, 4.09171, 0.0954148
4, 32, 4.08565, 0.067408
4, 36, 4.07081, 0.0642743
4, 40, 4.04916, 0.0771851
4, 44, 4.02459, 0.0938633
4, 48, 4.00362, 0.105153
4, 52, 3.99179, 0.106432
4, 56, 3.98561, 0.0989212
4, 60, 3.97759, 0.0883926
4, 64, 3.96839, 0.079259
4, 68, 3.96371, 0.0722311
4, 72, 3.9643, 0.0669638
4, 76, 3.96559, 0.0630185
4, 80, 3.96296, 0.0603186
4, 84, 3.95524, 0.0594274
4, 88, 3.94579, 0.0585022
4, 92, 3.93707, 0.0508927
4, 96, 3.92394, 0.0322921
4, 100, 3.90201, 0.00496903
4, 104, 3.88426, -0.0273755
4, 108, 3.89352, -0.0686286
4, 112, 3.92633, -0.132928
4, 116, 3.94695, -0.217977
4, 120, 3.93876, -0.30153
4, 124, 3.93996, -0.392474
4, 128, 3.97987, -0.513271
4, 132, 4.02876, -0.643773
4, 136, 4.05646, -0.757179
4, 140, 4.06221, -0.849605
4, 144, 4.0513, -0.923866
4, 148, 4.02427, -0.988604
4, 152, 3.98067, -1.0561
4, 156, 3.9261, -1.12789
4, 160, 3.87322, -1.19059
4, 164, 3.82641, -1.23307
4, 168, 3.77793, -1.25141
4, 172, 3.72501, -1.24181
4, 176, 3.67151, -1.19815
4, 180, 3.61963, -1.11063
4, 184, 3.56989, -0.973156
4, 188, 3.52523, -0.784302
4, 192, 3.49057, -0.54854
4, 196, 3.46895, -0.281687
4, 200, 3.46155, -0.000641592
4, 204, 3.46938, 0.280497
4, 208, 3.49131, 0.547561
4, 212, 3.52614, 0.7835
4, 216, 3.57095, 0.972411
4, 220, 3.62095, 1.10987
4, 224, 3.67313, 1.19743
4, 228, 3.72689, 1.24123
4, 232, 3.77985, 1.25099
4, 236, 3.8281, 1.2326
4, 240, 3.87445, 1.18974
4, 244, 3.92681, 1.12651
4, 248, 3.98095, 1.05438
4, 252, 4.02427, 0.986821
4, 256, 4.05109, 0.922302
4, 260, 4.06181, 0.848439
4, 264, 4.05591, 0.756449
4, 268, 4.02808, 0.643349
4, 272, 3.97888, 0.512734
4, 276, 3.93832, 0.39141
4, 280, 3.93675, 0.300221
4, 284, 3.94532, 0.216801
4, 288, 3.92543, 0.131914
4, 292, 3.8933, 0.0679415
4, 296, 3.88447, 0.0272041
4, 300, 3.90242, -0.00450116
4, 304, 3.92443, -0.0311651
4, 308, 3.93757, -0.0492033
4, 312, 3.94628, -0.0564659
4, 316, 3.95573, -0.0573312
4, 320, 3.96352, -0.0583916
4, 324, 3.96623, -0.0613632
4, 328, 3.96505, -0.0654291
4, 332, 3.96463, -0.0704472
4, 336, 3.96952, -0.0770476
4, 340, 3.97883, -0.0860175
4, 344, 3.98684, -0.0969076
4, 348, 3.99291, -0.105064
4, 352, 4.00467, -0.104222
4, 356, 4.02577, -0.0930324
4, 360, 4.05065, -0.0762716
4, 364, 4.0726, -0.0632018
4, 368, 4.08761, -0.0661511
4, 372, 4.09375, -0.0939135
4, 376, 4.09289, -0.143725
4, 380, 4.08886, -0.198216
4, 384, 4.08303, -0.22906
4, 388, 4.07291, -0.217841
4, 392, 4.05724, -0.168211
4, 396, 4.04199, -0.0925811
8, 0, 4.07031, -0.00269323
8, 4, 4.07545, 0.124741
8, 8, 4.08681, 0.238022
8, 12, 4.09722, 0.325245
8, 16, 4.10147, 0.378219
8, 20, 4.10183, 0.394892
8, 24, 4.10279, 0.38777
8, 28, 4.1038, 0.379029
8, 32, 4.10101, 0.383619
8, 36, 4.09071, 0.405388
8, 40, 4.0728, 0.437914
8, 44, 4.05144, 0.469742
8, 48, 4.03077, 0.491344
8, 52, 4.01344, 0.494219
8, 56, 4.00112, 0.472554
8, 60, 3.99298, 0.432642
8, 64, 3.9881, 0.386715
8, 68, 3.98817, 0.337484
8, 72, 3.99335, 0.280553
8, 76, 3.99934, 0.214962
8, 80, 4.00127, 0.145413
8, 84, 3.99736, 0.0778323
8, 88, 3.98785, 0.0128175
8, 92, 3.97264, -0.0592971
8, 96, 3.95153, -0.14495
8, 100, 3.93069, -0.230895
8, 104, 3.92224, -0.30152
8, 108, 3.92731, -0.373288
8, 112, 3.94094, -0.480705
8, 116, 3.96566, -0.628719
8, 120, 3.99106, -0.78176
8, 124, 4.00469, -0.911038
8, 128, 4.03427, -1.05394
8, 132, 4.0973, -1.24706
8, 136, 4.15932, -1.46036
8, 140, 4.19087, -1.66138
8, 144, 4.18965, -1.84636
8, 148, 4.16012, -2.02559
8, 152, 4.10803, -2.20426
8, 156, 4.04567, -2.37073
8, 160, 3.98063, -2.51113
8, 164, 3.90707, -2.61977
8, 168, 3.8185, -2.68319
8, 172, 3.71198, -2.68033
8, 176, 3.58849, -2.59258
8, 180, 3.45234, -2.40469
8, 184, 3.31862, -2.10281
8, 188, 3.2029, -1.68595
